date,flow_cms
03/03/2022,193.249
05/02/2021,423.3
23/12/2019,445
10/02/2019,214
04/04/2018,320
02/02/2017,197
11/01/2016,313
16/01/2015,267
10/02/2014,507.053
26/12/2012,422.614
01/05/2012,277.5
18/01/2011,311.6
01/03/2010,330.4
11/02/2009,389.8
16/01/2008,387
07/03/2007,352.3
02/04/2006,173
20/12/2004,162
02/02/2004,265.8
02/01/2003,482
05/02/2002,338
07/11/2000,462.399
28/12/1999,327.57
21/01/1999,331.299
06/01/1998,295
26/02/1997,192
10/01/1996,301
02/02/1995,385
10/01/1994,400
03/12/1992,378
27/09/1992,165
11/01/1991,220
04/02/1990,427
27/02/1989,262
30/01/1988,402
08/04/1987,304
27/12/1985,408
24/11/1984,270
25/03/1984,286
10/12/1982,345
15/12/1981,314
14/03/1981,289
29/12/1979,393
09/04/1979,324
29/01/1978,326
02/01/1977,334
02/12/1975,152
23/11/1974,559
14/02/1974,396
07/12/1972,266
08/03/1972,330
27/01/1971,362.34
24/01/1970,224
18/12/1968,369.34
17/09/1968,600.08
10/03/1967,312.83
26/02/1966,323.67
26/09/1965,122
16/03/1964,369.29
11/03/1963,285.57
23/01/1962,344.24
04/11/1960,455.9
25/01/1960,307.83
23/01/1959,374.76
26/02/1958,316.61
09/02/1957,314.14
01/02/1956,315.61
01/12/1954,452.69
20/02/1954,223.16
22/12/1952,263.26
20/11/1951,376.76
06/02/1951,384.81
04/02/1950,324.24
03/01/1949,298.78
31/01/1948,227.42
20/03/1947,714.16
30/12/1945,256.63
19/12/1944,260.89
24/01/1944,115.13
02/02/1943,456.95
26/01/1942,298.3
19/11/1940,383.92
09/02/1940,409.54
01/02/1939,369.45
15/12/1937,247.42
25/01/1937,437.8
02/01/1936,478.21
01/03/1935,227.32
16/03/1934,94.56
28/02/1933,478.53
25/05/1932,274.41
01/12/1930,228.32
13/12/1929,551.93
30/12/1928,234.84
07/01/1928,526.15
02/03/1927,374.65
08/01/1926,369.92
04/01/1925,521.88
26/01/1924,297.57
14/04/1923,231.37
10/03/1922,197.8
05/01/1921,240
01/02/1920,250.84
08/03/1919,334.24
23/01/1918,350.55
26/12/1916,326.82
29/03/1916,373.5
05/01/1915,585.08
11/03/1914,256.36
24/01/1913,255.26
27/01/1912,366.76
18/12/1910,427.96
26/02/1910,230.79
08/03/1909,203.85
17/12/1907,375.65
03/01/1907,219.69
18/01/1906,249.05
17/03/1905,229.48
15/02/1904,516.57
21/06/1903,385.97
31/12/1901,162.17
13/04/1901,200.48
21/02/1900,533.3
14/02/1899,262.1
02/01/1898,171.38
07/02/1897,350.87
24/03/1896,201.64
18/11/1894,806
19/02/1894,173.22
28/02/1893,299.72
25/10/1891,339.4
01/02/1891,171.33
30/01/1890,204.53
10/03/1889,237.42
28/03/1888,207.59
14/01/1887,283.78
07/12/1885,244.21
18/02/1885,229.53
03/02/1884,230.95
16/02/1883,510.57
